ID,Hemisphere,Region,Punch,Cell_Type,Location,Organ,Note
7669_R_P_2_DLX1,R,P,2,DLX1,NEAR_P,CTX,
7669_R_P_3_DLX1,R,P,3,DLX1,NEAR_A,CTX,
7669_R_P_4_DLX1,R,P,4,DLX1,NEAR_V,CTX,
7669_R_P_5_DLX1,R,P,5,DLX1,NEAR_D,CTX,
7669_R_P_6_DLX1,R,P,6,DLX1,NEAR_AV,CTX,
7669_R_P_7_DLX1,R,P,7,DLX1,NEAR_PV,CTX,
7669_R_P_8_DLX1,R,P,8,DLX1,NEAR_AD,CTX,
7669_R_P_2_TBR1,R,P,2,TBR1,NEAR_P,CTX,
7669_R_P_3_TBR1,R,P,3,TBR1,NEAR_A,CTX,
7669_R_P_4_TBR1,R,P,4,TBR1,NEAR_V,CTX,
7669_R_P_5_TBR1,R,P,5,TBR1,NEAR_D,CTX,
7669_R_P_6_TBR1,R,P,6,TBR1,NEAR_AV,CTX,
7669_R_P_7_TBR1,R,P,7,TBR1,NEAR_PV,CTX,
7669_R_P_8_TBR1,R,P,8,TBR1,NEAR_AD,CTX,
7669_R_I_1_DLX1,R,I,1,DLX1,,CTX,
7669_R_O_1_DLX1,R,O,1,DLX1,C,CTX,
7669_R_P_9_DLX1,R,P,9,DLX1,NEAR_PD,CTX,LOW_INPUT
7669_R_F_1_TBR1,R,F,1,TBR1,,CTX,
7669_R_I_1_TBR1,R,I,1,TBR1,,CTX,
7669_R_O_1_TBR1,R,O,1,TBR1,C,CTX,
7669_R_P_9_TBR1,R,P,9,TBR1,NEAR_PD,CTX,
7669_R_P_10_DLX1,R,P,10,DLX1,FAR_V,CTX,
7669_R_P_11_DLX1,R,P,11,DLX1,FAR_D,CTX,
7669_R_P_12_DLX1,R,P,12,DLX1,FAR_AD,CTX,
7669_R_P_13_DLX1,R,P,13,DLX1,FAR_A,CTX,
7669_R_P_14_DLX1,R,P,14,DLX1,FAR_AV,CTX,
7669_R_P_15_DLX1,R,P,15,DLX1,FAR_P,CTX,
7669_R_P_16_DLX1,R,P,16,DLX1,FAR_PD,CTX,
7669_R_O_2_DLX1,R,O,2,DLX1,NEAR_A,CTX,
7669_R_O_3_DLX1,R,O,3,DLX1,NEAR_P,CTX,
7669_R_O_4_DLX1,R,O,4,DLX1,NEAR_D,CTX,
7669_R_O_5_DLX1,R,O,5,DLX1,NEAR_V,CTX,
7669_R_O_6_DLX1,R,O,6,DLX1,NEAR_AV,CTX,
7669_R_O_7_DLX1,R,O,7,DLX1,NEAR_AD,CTX,
7669_R_O_8_DLX1,R,O,8,DLX1,NEAR_PV,CTX,
7669_R_O_9_DLX1,R,O,9,DLX1,NEAR_PD,CTX,
7669_R_O_11_DLX1,R,O,11,DLX1,FAR_D,CTX,
7669_R_T_1_DLX1,R,T,1,DLX1,,CTX,
7669_R_Ant_Cau_DLX1,R,Cau,sec1,DLX1,A,BG,
7669_R_Ant_Put_DLX1,R,Put,sec1,DLX1,A,BG,
7669_R_sec2_Thal_DLX1,R,Thal,sec2,DLX1,,THAL,
7669_R_sec2_GP_DLX1,R,GP,sec2,DLX1,,BG,
7669_R_sec3_Cau_DLX1,R,Cau,sec3,DLX1,P,BG,
7669_R_sec3_Put_DLX1,R,Put,sec3,DLX1,P,BG,
7669_R_sec3_Hip_DLX1,R,Hip,sec3,DLX1,,HIP,
7669_R_POA_DLX1,R,POA,1,DLX1,,POA,
7669_R_EC_DLX1,R,EC,1,DLX1,,CTX,
7669_R_Olf_DLX1,R,Olf,1,DLX1,,OLF,
7669_R_CCMid_DLX1,R,CC,2,DLX1,,CTX,
7669_R_mO_DLX1,R,mO,1,DLX1,,CTX,
7669_L_F_1_DLX1,L,F,1,DLX1,,CTX,
7669_L_P_1_DLX1,L,P,1,DLX1,,CTX,
7669_L_I_1_DLX1,L,I,1,DLX1,,CTX,
7669_L_T_1_DLX1,L,T,1,DLX1,,CTX,
7669_L_sec1_Cau_DLX1,L,Cau,sec1,DLX1,,BG,
7669_L_sec1_Put_DLX1,L,Put,sec1,DLX1,A,BG,
7669_L_sec2_Thal_DLX1,L,Thal,sec2,DLX1,,THAL,
7669_L_sec2_GP_DLX1,L,GP,sec2,DLX1,,BG,
7669_L_sec3_Hip_DLX1,L,Hip,sec3,DLX1,,HIP,
7669_R_P_11_TBR1,R,P,11,TBR1,FAR_D,CTX,
7669_R_P_12_TBR1,R,P,12,TBR1,FAR_AD,CTX,
7669_R_P_13_TBR1,R,P,13,TBR1,FAR_A,CTX,
7669_R_P_14_TBR1,R,P,14,TBR1,FAR_AV,CTX,
7669_R_P_15_TBR1,R,P,15,TBR1,FAR_P,CTX,
7669_R_P_16_TBR1,R,P,16,TBR1,FAR_PD,CTX,
7669_R_P_17_TBR1,R,P,17,TBR1,FAR_PV,CTX,
7669_R_T_1_TBR1,R,T,1,TBR1,,CTX,
7669_L_POA_DLX1,L,POA,1,DLX1,,POA,
7669_L_EC_DLX1,L,EC,1,DLX1,,CTX,
7669_L_CC_2_DLX1,L,CC,2,DLX1,,CTX,
7669_L_mO_DLX1,L,mO,1,DLX1,,CTX,
7669_R_F_1_COUPTF2,R,F,1,COUPTF2,,CTX,
7669_R_P_1_COUPTF2,R,P,1,COUPTF2,C,CTX,
7669_R_O_1_COUPTF2,R,O,1,COUPTF2,C,CTX,
7669_R_I_1_COUPTF2,R,I,1,COUPTF2,,CTX,
7669_R_T_1_COUPTF2,R,T,1,COUPTF2,,CTX,
7669_R_sec2_Thal_COUPTF2,R,Thal,sec2,COUPTF2,,THAL,
7669_R_sec3_Hip_COUPTF2,R,Hip,sec3,COUPTF2,,HIP,
7669_R_EC_COUPTF2,R,EC,1,COUPTF2,,CTX,
7669_R_CCMid_COUPTF2,R,CC,2,COUPTF2,,CTX,
7669_R_mO_COUPTF2,R,mO,1,COUPTF2,,CTX,
7669_L_F_1_COUPTF2,L,F,1,COUPTF2,,CTX,
7669_L_P_1_COUPTF2,L,P,1,COUPTF2,,CTX,
7669_L_O_1_COUPTF2,L,O,1,COUPTF2,,CTX,
7669_L_I_1_COUPTF2,L,I,1,COUPTF2,,CTX,
7669_L_T_1_COUPTF2,L,T,1,COUPTF2,,CTX,
7669_L_sec2_Thal_COUPTF2,L,Thal,sec2,COUPTF2,,THAL,
7669_L_sec3_Hip_COUPTF2,L,Hip,sec3,COUPTF2,,HIP,
7669_L_EC_COUPTF2,L,EC,1,COUPTF2,,CTX,
7669_L_CC_2_COUPTF2,L,CC,2,COUPTF2,,CTX,
7669_L_mO_COUPTF2,L,mO,1,COUPTF2,,CTX,
7669_R_F_1_NeuN,R,F,1,NeuN,,CTX,
7669_R_P_1_NeuN,R,P,1,NeuN,C,CTX,
7669_R_O_1_NeuN,R,O,1,NeuN,C,CTX,
7669_R_sec3_Hip_TBR1,R,Hip,sec3,TBR1,,HIP,
7669_R_EC_TBR1,R,EC,1,TBR1,,CTX,
7669_R_CC_Mid_TBR1,R,CC,2,TBR1,,CTX,
7669_R_mO_TBR1,R,mO,1,TBR1,,CTX,
7669_L_F_1_TBR1,L,F,1,TBR1,,CTX,
7669_L_P_1_TBR1,L,P,1,TBR1,,CTX,
7669_L_O_1_TBR1,L,O,1,TBR1,,CTX,
7669_L_I_1_TBR1,L,I,1,TBR1,,CTX,
7669_L_T_1_TBR1,L,T,1,TBR1,,CTX,
7669_LV15_Bulk,M,LV15,1,Bulk,,HEART,
7669_RV10_Bulk,M,RV10,1,Bulk,,HEART,
7669_LA10_Bulk,M,LA10,1,Bulk,,HEART,
7669_RA9_Bulk,M,RA9,1,Bulk,,HEART,
7669_AO_1_Bulk,M,AO,1,Bulk,,HEART,
7669_L_Ins_1_Bulk,L,I,1,Bulk,,CTX,
7669_L_F_1_Bulk,L,F,1,Bulk,,CTX,
7669_L_P_1_Bulk,L,P,1,Bulk,,CTX,
7669_L_O_1_Bulk,L,O,1,Bulk,,CTX,
7669_L_T_1_Bulk,L,T,1,Bulk,,CTX,
7669_L_POA_Bulk,L,POA,,Bulk,,POA,
7669_R_Ins_1_Bulk,R,I,1,Bulk,,CTX,
7669_R_F_1_Bulk,R,F,1,Bulk,,CTX,
7669_R_P_1_Bulk,R,P,1,Bulk,C,CTX,
7669_R_O_1_Bulk,R,O,1,Bulk,C,CTX,
7669_R_T_1_Bulk,R,T,1,Bulk,,CTX,
7669_R_POA_Bulk,R,POA,1,Bulk,,POA,
7669_L_sec1_Cau_Bulk,L,Cau,sec1,Bulk,,BG,
7669_L_sec2_Put_Bulk,L,Put,sec2,Bulk,P,BG,
7669_L_sec2_GP_Bulk,L,GP,sec2,Bulk,,BG,
7669_L_sec2_Thal_Bulk,L,Thal,sec2,Bulk,,THAL,
7669_R_sec1_Cau_Bulk,R,Cau,sec1,Bulk,A,BG,
7669_R_sec2_Put_Bulk,R,Put,sec2,Bulk,C,BG,
7669_R_sec2_GP_Bulk,R,GP,sec2,Bulk,,BG,
7669_R_sec2_Thal_Bulk,R,Thal,sec2,Bulk,,THAL,
7669_Liver_Bulk,M,Liver,1,Bulk,,LIVER,
7669_L_Cb2_Bulk,L,Cb,2,Bulk,,CB,
7669_L_Skin_Bulk,L,Skin,1,Bulk,,SKIN,
7669_L_Kidney_Bulk,L,Kidney,1,Bulk,,KIDNEY,
7669_R_Cb_2_Bulk,R,Cb,2,Bulk,,CB,
7669_R_Skin_Bulk,R,Skin,1,Bulk,,SKIN,
7669_R_kidney_Bulk,R,kidney,1,Bulk,,KIDNEY,
7669_L_Adrenal_Bulk,L,Adrenal,1,Bulk,,ADRENAL,
7669_R_Adrenal_Bulk,R,Adrenal,1,Bulk,,ADRENAL,
7669_R_2_Thal_Bulk,R,Thal,sec2,Bulk,,THAL,LOW_INPUT
7669_R_2_Put2_Bulk,R,Put,sec2,Bulk,C,BG,LOW_INPUT
7669_R_P_1_DLX1,R,P,1,DLX1,C,CTX,
7669_R_P_1_TBR1,R,P,1,TBR1,C,CTX,
7669_R_F_1_DLX1,R,F,1,DLX1,,CTX,
7669_R_P_9_DLX,R,P,9,DLX1,NEAR_PD,CTX,
7669_R_P_17_DLX1,R,P,17,DLX1,FAR_PV,CTX,
7669_R_O_10_DLX1,R,O,10,DLX1,FAR_V,CTX,
7669_L_O_1_DLX1,L,O,1,DLX1,,CTX,
